"Material","ShaderGuid","ShaderFileID","ShaderType","ShaderName","ShaderFile","ShaderCategory","DummyExporter"
"Assets\Material\Mat_Tunnel_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Flash_Dissolve.mat","dafa18d152eb028498b88398979a82fc","4800000","3","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Additive.shader","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Ring_Dissolve.mat","dafa18d152eb028498b88398979a82fc","4800000","3","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Additive.shader","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Dust_2_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","4800000","3","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Alpha.shader","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Dust_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","4800000","3","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Alpha.shader","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Smoke_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","4800000","3","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Alpha.shader","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Fake_Shadow_Sprite.mat","9cf57f5b5c17bca43bb20cb3c879ee09","4800000","3","Shader Graphs/SH_FX_Sprite_Multiply","Assets\Shader\Shader Graphs_SH_FX_Sprite_Multiply.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Snake.mat","10e76ace7ddb58847956cef503574e39","4800000","3","Shader Graphs/SH_Snake","Assets\Shader\Shader Graphs_SH_Snake.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Island_Tile.mat","2c62bfcb30b61484a8e87d7d9562d252","4800000","3","Shader Graphs/SH_Tile_FakeUnlit","Assets\Shader\Shader Graphs_SH_Tile_FakeUnlit.shader","Custom Shader Graph export","True"
"Assets\Material\GladlyAcceptRegular-Wyjov SDF Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Brown Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Brown Inner Shadow Levels.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Brown Level Number.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Combo - Base.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Combo - BG.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular GreenShadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular HomeScreen Levels.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Progress Bar.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Purple Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Red Cartoon 02.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Red Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF 2 - purple cartoon 2.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF 2 - weekly purple background.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Blue Underlay Outline.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Blue Underlay.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Brown Red.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Dark Red.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Extra Bold - White Green.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Extra Bold.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Green Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Green Outline.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Navy Blue.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Orange Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Purple Cartoon Inner Shadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Purple Cartoon Play btn.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Red Cartoon Inner Shadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Red Cartoon Play btn.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Red Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular SDF Red.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular Speechbubble.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular weekly blue.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular weekly orange.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\LuckiestGuy-Regular YellowShadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSansArabic-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSansBengali-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSansHebrew-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSansJP-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSansKR-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSans-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSansSC-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSansTC-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\NotoSansThai-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Outline Shadow Glow Foil.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Outline Shadow SilverUsername.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Outline Shadow Whiteline.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Voodoo_Casual-Bold SDF Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","4800000","3","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Cairo-Black Atlas Material World.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Cairo-Black Atlas Material.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Cairo-Black Atlas Material_0.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Cairo-Black Atlas Material_1.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Cairo-GreenDark.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Cairo-OrangeDark.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Cairo-RedDark.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Atlas Material.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Light Bottom Big.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Outline Red.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Outline Shadow Big.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Outline Shadow.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\Outfit-Black Outline.mat","588c69116f22f6648b9fe3f4ac7c9fd9","4800000","3","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True"
"Assets\Material\TextMeshPro_Sprite.mat","ff8462b6e621a8345844621c94b3984b","4800000","3","TextMeshPro/Sprite","Assets\Shader\TextMeshPro_Sprite.shader","TextMeshPro package shader","True"
"Assets\Material\TextMeshPro_Sprite_0.mat","ff8462b6e621a8345844621c94b3984b","4800000","3","TextMeshPro/Sprite","Assets\Shader\TextMeshPro_Sprite.shader","TextMeshPro package shader","True"
"Assets\Material\MAT_DarkOverlayMasked.mat","cc77e64ea98b1094b9c2fbbce69fc9ed","4800000","3","JuicedUp/DarkOverlayMasked","Assets\Shader\JuicedUp_DarkOverlayMasked.shader","Third-party/custom JuicedUp","True"
"Assets\Material\MAT_DarkOverlayStencilWriter.mat","916bf0c2fb6d9b04782025f3889591db","4800000","3","JuicedUp/DarkOverlayStencilWriter","Assets\Shader\JuicedUp_DarkOverlayStencilWriter.shader","Third-party/custom JuicedUp","True"
"Assets\Material\MAT_TailSegment_Plane.mat","d6d703ce50bdbbc45ad71f44812df2d1","4800000","3","Toony Colors Pro 2/Hybrid Shader 2","Assets\Shader\Toony Colors Pro 2_Hybrid Shader 2.shader","Third-party: Toony Colors Pro 2","True"
"Assets\Material\MAT_FX_Trail_Soft.mat","740585338c2f1b546a558c2b80305e3a","4800000","3","UI/Additive","Assets\Shader\UI_Additive.shader","UI/third-party UI shader","True"
"Assets\Material\MT_FX_UI_Particle_Additive.mat","740585338c2f1b546a558c2b80305e3a","4800000","3","UI/Additive","Assets\Shader\UI_Additive.shader","UI/third-party UI shader","True"
"Assets\Material\Particle_Add_MAT.mat","740585338c2f1b546a558c2b80305e3a","4800000","3","UI/Additive","Assets\Shader\UI_Additive.shader","UI/third-party UI shader","True"
"Assets\Material\UI-Effect-Shiny.mat","8e6402661a2946b489d8a8b5e9d65745","4800000","3","UI/Hidden/UI-Effect-Shiny","Assets\Shader\UI_Hidden_UI-Effect-Shiny.shader","UI/third-party UI shader","True"
"Assets\Material\1Add_mat.mat","0000000000000000f000000000000000","10720","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\lightray2_ADD.mat","0000000000000000f000000000000000","10720","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\lightray3_ADD.mat","0000000000000000f000000000000000","10720","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\MAT_Gates.mat","0000000000000000f000000000000000","10752","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\MT_Confetti_UI.mat","0000000000000000f000000000000000","10770","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\MT_FX_Alpha_Blended.mat","0000000000000000f000000000000000","10721","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\MT_FX_Glow.mat","0000000000000000f000000000000000","10720","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\MT_FX_Particle_Additive.mat","0000000000000000f000000000000000","10720","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\MT_FX_Particle_Additive_0.mat","0000000000000000f000000000000000","10720","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\MT_FX_Particle_Additive_SoftTrail.mat","0000000000000000f000000000000000","10720","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\Particle_AB_MAT.mat","0000000000000000f000000000000000","10770","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\Particle_Add_MAT_0.mat","0000000000000000f000000000000000","10720","0","Unity built-in shader reference","","Unity built-in shader","False"
"Assets\Material\Sprite-Unlit-Default.mat","e591da70890cbf747b6a1fcf8f46fdbd","4800000","3","Universal Render Pipeline/2D/Sprite-Unlit-Default","Assets\Shader\Universal Render Pipeline_2D_Sprite-Unlit-Default.shader","Unity URP package shader","True"
"Assets\Material\Lit.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Arrow_Switching.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Block.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Bush_1.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Bush_2.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Bush_3.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Bush_4.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Crate_Blue.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Crate_Green.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Crate_Orange.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Crate_Pink.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
